,Competition,Stage,Year,Number,Problem Statement,ID,Figure,Answer
23,OSN,Regional,2012,4,"Diketahui suatu kelas terdiri dari 15 siswa. Semua siswa tersebut akan dikelompokkan menjadi 4 kelompok yang terdiri dari 4, 4, 4, dan 3 siswa. Ada berapa cara pengelompokan tersebut?",OSN_Regional_2012_4,,$\frac{\binom{15}{4} \binom{11}{4} \binom{7}{4} \binom{3}{3}}{3!}$
24,OSN,Regional,2012,5,"Diberikan segitiga siku–siku $ABC$, dengan $AB$ sebagai sisi miringnya. Jika keliling dan luasnya berturut–turut 624 dan 6864. Panjang sisi miring segitiga tersebut adalah $\dots$",OSN_Regional_2012_5,,290
25,OSN,Regional,2012,6,"Banyaknya tripel bilangan bulat $(x,y,z)$ yang memenuhi
\[
x^2 + y^2 + z^2 - xy - yz - zx = x^3 + y^3 + z^3
\]
adalah $\dots$",OSN_Regional_2012_6,,tak hingga
26,OSN,Regional,2012,7,"Diberikan suatu lingkaran dengan diameter $AB = 30$. Melalui $A$ dan $B$ berturut–turut ditarik tali busur $AD$ dan $BE$. Perpanjangan $AD$ dan $BE$ berpotongan di titik $C$. Jika
$AC = 3AD$ dan $BC = 4BE$, maka luas segitiga $ABC$ adalah $\dots$",OSN_Regional_2012_7,,540
27,OSN,Regional,2012,8,"Misalkan $a,b,c,d,e$ adalah bilangan bulat sehingga $2^a 3^b 4^c 5^d 6^e$ juga merupakan bilangan bulat. Jika diketahui bahwa nilai mutlak dari $a,b,c,d,e$ tidak lebih dari 2012, maka nilai terkecil yang mungkin dari $a+b+c+d+e$ adalah $\dots$",OSN_Regional_2012_8,,$-2012$
28,OSN,Regional,2012,9,"Jika
\[
\left(\sqrt{2012} + \sqrt{2011}\right)^2 = n + r
\]
dengan $n$ merupakan bilangan asli dan $0 \le r < 1$, maka nilai $r$ adalah $\dots$",OSN_Regional_2012_9,,$1-(\sqrt{2012}-\sqrt{2011})^2$
29,OSN,Regional,2012,10,"Tentukan semua nilai $b$ sehingga untuk semua $x$ paling tidak salah satu dari
$f(x)=x^2 + 2012x + b$ atau $g(x)=x^2 - 2012x + b$ positif.",OSN_Regional_2012_10,,$b>0$
30,OSN,Regional,2012,11,Jumlah semua bilangan bulat $x$ sehingga $2^{\log(x^2 - 4x - 1)}$ merupakan bilangan bulat adalah $\dots$,OSN_Regional_2012_11,,4
31,OSN,Regional,2012,12,Ada berapa faktor positif dari $2^7 3^5 5^3 7^2$ yang merupakan kelipatan 6 ?,OSN_Regional_2012_12,,420
32,OSN,Regional,2012,13,Suatu set soal terdiri dari 10 soal pilihan B atau S dan 15 soal pilihan ganda dengan 4 pilihan. Seorang siswa menjawab semua soal dengan menebak jawaban secara acak. Tentukan probabilitas ia menjawab dengan benar hanya 2 soal ?,OSN_Regional_2012_13,,$45 \cdot \left( \frac{1}{2}\right)^{10} \cdot \left( \frac{3}{4}\right)^{15} + 150 \cdot \left( \frac{1}{2}\right)^{10} \cdot \left( \frac{3}{4}\right)^{14} + 105 \cdot \left( \frac{1}{2}\right)^{10} \cdot \left( \frac{3}{4}\right)^{13} \cdot \left( \frac{1}{4}\right)^{2}$
33,OSN,Regional,2012,14,"Diberikan segitiga ABC dengan keliling 3, dan jumlah kuadrat sisi–sisinya sama dengan 5. Jika jari–jari lingkaran luarnya sama dengan 1, maka jumlah ketiga garis tinggi dari segitiga ABC tersebut adalah $\dots$",OSN_Regional_2012_14,,1
34,OSN,Regional,2012,15,"Jika hasil kali tiga bilangan ganjil berurutan sama dengan 7 kali jumlah ketiga bilangan itu, maka jumlah kuadrat ketiga bilangan itu adalah $\dots$",OSN_Regional_2012_15,,83
35,OSN,Regional,2012,16,"Diketahui segitiga $ABC$ sama kaki dengan panjang $AB = AC = 3$, $BC = 2$, titik $D$ pada sisi $AC$ dengan panjang $AD = 1$. Tentukan luas segitiga $ABD$.",OSN_Regional_2012_16,,$\frac{2\sqrt{2}}{3}$
36,OSN,Regional,2012,17,Suatu dadu dilempar enam kali. Tentukan probabilitas jumlah mata yang muncul 27.,OSN_Regional_2012_17,,$\frac{1666}{6^6}$
37,OSN,Regional,2012,18,"Diberikan segitiga $ABC$ dengan sisi–sisi: $AB = x + 1$, $BC = 4x - 2$, dan $CA = 7 - x$. Tentukan nilai dari $x$ sehingga segitiga $ABC$ merupakan segitiga sama kaki.",OSN_Regional_2012_18,,$\frac{9}{5}$
38,OSN,Regional,2012,19,"Misalkan terdapat 5 kartu dimana setiap kartu diberi nomor yang berbeda yaitu 2, 3, 4, 5, dan 6. Kartu–kartu tersebut kemudian dijajarkan dari kiri ke kanan secara acak sehingga berbentuk barisan. Berapa probabilitas bahwa banyaknya kartu yang dijajarkan dari kiri ke kanan dan ditempatkan pada tempat ke–$i$ akan lebih besar atau sama dengan $i$ untuk setiap $i$ dengan $1 \le i \le 5$?",OSN_Regional_2012_19,,$\frac{2}{15}$
39,OSN,Regional,2012,20,$N$ lingkaran digambar pada sebuah bidang datar sedemikian sehingga terdapat enam titik dimana keenam titik tersebut terdapat pada paling sedikit tiga lingkaran. Berapa $N$ terkecil yang memenuhi kondisi tersebut?,OSN_Regional_2012_20,,5
40,OSN,Regional,2013,1,"Misalkan $a$ dan $b$ bilangan asli dengan $a > b$. Jika $\sqrt{94 + 2\sqrt{2013}} = \sqrt{a} + \sqrt{b}$, maka nilai $a - b$ adalah $\dots$",OSN_Regional_2013_1,,28
41,OSN,Regional,2013,2,"Diberikan segitiga $ABC$ dengan luas 10. Titik $D$, $E$, dan $F$ berturut-turut terletak pada sisi $AB$, $BC$, dan $CA$ dengan $AD=2$, $DB=3$. Jika segitiga $ABE$ dan segiempat $DBEF$ mempunyai luas yang sama, maka luasnya sama dengan $\dots$",OSN_Regional_2013_2,,6
42,OSN,Regional,2013,3,"Misalkan $p$ dan $q$ bilangan prima. Jika diketahui persamaan $x^{2014} - px^{2013} + q = 0$ mempunyai akar-akar bilangan bulat, maka $p + q$ adalah $\dots$",OSN_Regional_2013_3,,5
43,OSN,Regional,2013,4,"Jika fungsi $f$ didefinisikan oleh $f(x) = \frac{kx}{2x+3}, x \ne -\frac{3}{2}$ memenuhi $f(f(x)) = x$ untuk setiap bilangan real $x$, kecuali $x = -\frac32$, maka nilai $k$ adalah $\dots$",OSN_Regional_2013_4,,$-3$
44,OSN,Regional,2013,5,Koefisien dari $x^{2013}$ pada ekspansi $(1+x)^{4016} + x(1+x)^{4015} + x^2(1+x)^{4014} + \dots + x^{2013}(1+x)^{2013}$ adalah $\dots$,OSN_Regional_2013_5,,$\binom{4017}{2004}$
45,OSN,Regional,2013,6,"Jika $\frac{2}{x} - \frac{2}{y} = 1$ dan $y - x = 2$, maka $(x+y)^2 = \dots$",OSN_Regional_2013_6,,20
46,OSN,Regional,2013,7,Suatu dadu ditos 6 kali. Banyak cara memperoleh jumlah mata yang muncul 28 dengan tepat satu dadu muncul mata 6 adalah $\dots$,OSN_Regional_2013_7,,210
47,OSN,Regional,2013,8,"Misalkan $P$ adalah titik interior dalam segitiga $ABC$ sehingga $\angle PAB=10^\circ$, $\angle PBA=20^\circ$, $\angle PCA=30^\circ$, $\angle PAC=40^\circ$. Besar $\angle ABC$ adalah $\dots$",OSN_Regional_2013_8,,$80^{\circ}$
48,OSN,Regional,2013,9,Sepuluh kartu bernomor 1–10 dimasukkan ke kotak. Sebuah kartu diambil dan sebuah dadu dilempar. Probabilitas hasil perkalian nilai kartu dan dadu adalah bilangan kuadrat adalah $\dots$,OSN_Regional_2013_9,,$\frac{11}{60}$
49,OSN,Regional,2013,10,"Enam siswa duduk pada tiga meja bundar, masing-masing meja minimal satu siswa. Banyak cara melakukan hal tersebut adalah $\dots$",OSN_Regional_2013_10,,225
50,OSN,Regional,2013,11,"Suatu partikel bergerak pada bidang Cartesius dari titik (0,0). Setiap langkah bergerak satu satuan arah sumbu $X$ positif dengan probabilitas 0.6 atau satu arah sumbu $Y$ positif dengan probabilitas 0.4. Setelah sepuluh langkah, probabilitas partikel tersebut sampai pada titik $(6,4)$ dengan melalui $(3,4)$ adalah $\dots$",OSN_Regional_2013_11,,$\frac{81648}{5^9}$
51,OSN,Regional,2013,12,"Diberikan segitiga $ABC$, dengan $AB = 30$. Melalui $AB$ sebagai diameter, dibuat sebuah lingkaran yang memotong $AC$ dan $BC$ di $D$ dan $E$. Jika $AD = \frac{1}{3}$, $AC$ dan $BE = \frac{1}{4}BC$, luas segitiga $ABC$ adalah $\dots$",OSN_Regional_2013_12,,540
52,OSN,Regional,2013,13,"Banyaknya nilai $\alpha$ dengan $0 < \alpha < 90^\circ$ yang memenuhi
\[
(1 + \cos \alpha)(1 + \cos 2\alpha)(1 + \cos 4\alpha) = \frac{1}{8}
\]
adalah $\dots$",OSN_Regional_2013_13,,3
53,OSN,Regional,2013,14,"Diberikan segitiga lancip $ABC$ dengan $O$ sebagai pusat lingkaran luarnya. Misalkan $M$ dan $N$ berturut-turut pertengahan $OA$ dan $BC$. Jika $\angle ABC = 4\angle OMN$ dan $\angle ACB = 6\angle OMN$, besar $\angle OMN$ adalah $\dots$",OSN_Regional_2013_14,,$12^{\circ}$
54,OSN,Regional,2013,15,Tentukan semua bilangan tiga digit yang memenuhi syarat bahwa bilangan tersebut sama dengan penjumlahan dari faktorial setiap digitnya.,OSN_Regional_2013_15,,145
55,OSN,Regional,2013,16,"Diberikan himpunan
\[
S = \left\{ x \in \mathbb{Z} \mid \frac{x^2 - 2x + 7}{2x - 1} \in \mathbb{Z} \right\}.\]
Banyaknya himpunan bagian dari S adalah $\dots$",OSN_Regional_2013_16,,$2^6$
56,OSN,Regional,2013,17,"Untuk $x > 0$, $y > 0$, didefinisikan $f(x,y)$ adalah nilai terkecil di antara $x, \frac{y}{2}+\frac{2}{x}$, dan $\frac{1}{y}$. Nilai terbesar yang mungkin dicapai $f(x,y)$ adalah $\dots$",OSN_Regional_2013_17,,$\frac{\sqrt{10}}{2}$
57,OSN,Regional,2013,18,"Nilai $k$ terkecil, sehingga jika sembarang 8 bilangan dipilih dari $\{1,\dots,30\}$ selalu terdapat 2 bilangan yang hasil kalinya bilangan kuadrat sempurna adalah $\dots$",OSN_Regional_2013_18,,20
58,OSN,Regional,2013,19,"Diketahui $x_1, x_2$ adalah dua bilangan bulat berbeda yang merupakan akar dari $x^2 + px + q + 1 = 0$. Jika p dan $p^2 + q^2$ adalah bilangan prima, maka nilai terbesar yang mungkin dari $x_1^{2013} + x_2^{2013}$ adalah $\dots$",OSN_Regional_2013_19,,$-2^{2013}$
59,OSN,Regional,2013,20,Misalkan $\lfloor x \rfloor$ menyatakan bilangan bulat terbesar yang lebih kecil atau sama dengan x dan $\lceil x \rceil$ bilangan bulat terkecil yang lebih besar atau sama dengan x. Tentukan semua x yang memenuhi $\lfloor x \rfloor + \lceil x \rceil = 5$.,OSN_Regional_2013_20,,$2<x<3$
60,OSN,Regional,2014,1,"Garis berat $AD$ pada segitiga $ABC$ memotong garis berat $CF$ di titik $P$, serta perpanjangan $BP$ memotong $ABC$ di $E$. Jika diketahui segitiga $ABC$ lancip dan $AB = 6$, maka panjang $DE$ adalah $\dots$",OSN_Regional_2014_1,,3
61,OSN,Regional,2014,2,"Diberikan tiga bilangan bulat positif berurutan. Jika bilangan pertama tetap, bilangan kedua ditambah 10 dan bilangan ketiga ditambah bilangan prima, maka ketiga bilangan ini membentuk deret ukur. Bilangan ketiga dari bilangan bulat berurutan adalah $\dots$",OSN_Regional_2014_2,,13
62,OSN,Regional,2014,3,"Misalkan $a,b$ adalah bilangan rill sedemikian sehingga $a+b = \frac{1}{a} + \frac{1}{b} = 6$. Nilai dari $\frac{a}{b} + \frac{b}{a} + 1980$ adalah $\dots$",OSN_Regional_2014_3,,2014
63,OSN,Regional,2014,4,"Nilai dari
\[
\frac{1}{2015!} + \sum_{k=1}^{2014} \frac{k}{(k+1)!}
\]
adalah $\dots$",OSN_Regional_2014_4,,1
64,OSN,Regional,2014,5,"Untuk $0 < x < \pi$, nilai minimum dari $\frac{16\sin^2 x + 9}{\sin x}$ adalah $\dots$",OSN_Regional_2014_5,,$\frac{3}{4}$
65,OSN,Regional,2014,6,"Misalkan $S$ adalah himpunan bilangan asli yang digitnya tidak berulang dan dipilih dari 1,3,5,7. Jumlah digit satuan dari semua anggota $S$ adalah $\dots$",OSN_Regional_2014_6,,256
66,OSN,Regional,2014,7,"Misalkan $x,y,z > 1$ dan $w > 0$. Jika $\log_x w = 4$, $\log_y w = 5$ dan $\log_{xyz} w = 2$, maka nilai $\log_z w$ adalah $\dots$",OSN_Regional_2014_7,,20
67,OSN,Regional,2014,8,Terdapat tiga meja bundar yang identik. Setiap meja harus ditempati minimal satu siswa. Banyaknya cara mendudukkan enam siswa pada meja-meja tersebut adalah $\dots$,OSN_Regional_2014_8,,225
68,OSN,Regional,2014,9,"Diberikan persegi $ABCD$ dengan panjang sisi 1 satuan. Titik $E$ dan $F$ berturut-turut berada pada sisi $BC$ dan $CD$ sehingga $AEF$ samasisi. Dibuat pula persegi yang melewati $B$ yang sisi-sisinya sejajar dengan $ABCD$ dengan salah satu titik sudutnya berada pada ruas garis $AE$,  namun bukan $A$ dan bukan $E$. Jika panjang sisi persegi yang lebih kecil adalah $\frac{a - \sqrt{b}}{c}$ dengan $a,b,c$ bilangan positif dan b bukan kuadrat sempurna, maka nilai $a + b + c$ adalah $\dots$",OSN_Regional_2014_9,,12
69,OSN,Regional,2014,10,"Suatu perusahaan memproduksi 100 jenis makanan ringan setiap bulan. Permen dijual dalam bungkus, tiap bungkus berisi 10 permen. Banyaknya cara memilih rasa permen dalam satu bungkus banyaknya cara variasi dari 10 bungkus permen adalah $\dots$",OSN_Regional_2014_10,,84
70,OSN,Regional,2014,11,"Bilangan-bilangan 1111, 5276, 8251 dan 9441 bersisa sama jika dibagi $N$. Nilai $N$ terbesar yang memiliki sifat tersebut adalah $\dots$",OSN_Regional_2014_11,,595
71,OSN,Regional,2014,12,"Ada sebanyak $6!$ permutasi dari huruf-huruf OSNMAT. Jika semua permutasi tersebut diurutkan secara abjad dari A ke Z, maka OSNMAT pada urutan ke $\dots$",OSN_Regional_2014_12,,447
72,OSN,Regional,2014,13,"Segitiga $ABC$ merupakan segitiga sama kaki dengan panjang $AB = AC = 10$ cm. Titik $D$ terletak pada garis $AB$ sejauh 7 cm dari A dan E titik pada garis $AC$ yang terletak sejauh 4 cm dari A. Dari A ditarik garis tinggi dan memotong $BC$ di $F$. Jika bilangan rasional $\frac{a}{b}$ menyatakan perbandingan luas segi empat $ADFE$ terhadap luas segitiga $ABC$ dalam bentuk yang paling sederhana, maka nilai $a+b$ adalah $\dots$",OSN_Regional_2014_13,,31
73,OSN,Regional,2014,14,Hasil kali semua akar real dari persamaan $2x^2 + 3x + 4 = 2\sqrt{2x^2 + 3x + 12}$ adalah $\dots$,OSN_Regional_2014_14,,$-2$
74,OSN,Regional,2014,15,"Diberikan segitiga $ABC$ dengan $AB = 360$, $BC = 240$ dan $AC = 180$. Garis bagi dalam dan garis bagi luar dari $\angle CAB$ memotong $BC$ dan perpanjangan $BC$ berturut-turut di $P$ dan $Q$. Jari-jari lingkaran yang melalui titik-titik $A, P$ dan $Q$ adalah $\dots$",OSN_Regional_2014_15,,160
75,OSN,Regional,2014,16,"Diberikan fungsi kuadrat $f(x) = ax^2 + bx + c$ yang didefinisikan pada himpunan bilangan real dengan $b \ne 0$. Jika $f(x)$ selalu positif, maka nilai terkecil yang mungkin untuk $\frac{a}{b} + \frac{b}{c}$ adalah $\dots$",OSN_Regional_2014_16,,$x<-1$ atau $x>1$
76,OSN,Regional,2014,17,"Semua pasangan bilangan prima $(p,q)$ yang memenuhi persamaan $(7p - q)^2 = 2(p - 1)q^2$ adalah $\dots$",OSN_Regional_2014_17,,"$(3,7)$ dan $(19,19)$"
77,OSN,Regional,2014,18,"Diberikan segitiga $ABC$ yang sisi-sisnya tidak sama panjang sehingga panjang garis berat $AN$ dan $BP$ berturut-turut 3 dan 6. Jika luas segitiga $ABC$ adalah $3\sqrt{15}$, maka panjang garis berat ketiga CM adalah $\dots$",OSN_Regional_2014_18,,$3\sqrt{6}$
78,OSN,Regional,2014,19,Diketahui bahwa $20! + 14! = 24329040955348391200$. Nilai $a$ dan $b$ adalah $\dots$,OSN_Regional_2014_19,,$a=2$ dan $b=5$
79,OSN,Regional,2014,20,Semua bilangan bulat $n$ sehingga $n^4 - 51n^2 + 225$ merupakan bilangan prima adalah $\dots$,OSN_Regional_2014_20,,"$\{-7,-2,2,7\}$"
80,OSN,Regional,2015,1,Banyaknya faktor bulat positif dari 2015 adalah $\dots$,OSN_Regional_2015_1,,8
81,OSN,Regional,2015,2,Suatu dadu ditos enam kali. Probabilitas jumlah mata dadu yang muncul 9 adalah $\dots$,OSN_Regional_2015_2,,$\frac{56}{6}^6$
82,OSN,Regional,2015,3,"Jika $(f \circ g)(x) = \frac{7x + 3}{5x - 9}$ dan $g(x) = 2x - 4$, maka nilai $f(2)$ adalah $\dots$",OSN_Regional_2015_3,,4
83,OSN,Regional,2015,4,"Diberikan trapesium $ABCD$ dengan $AB$ sejajar $DC$ dan $AB = 84$ serta $DC = 25$. Jika trapesium $ABCD$ memiliki lingkaran dalam yang menyinggung keempat sisinya, keliling trapesium $ABCD$ adalah $\dots$",OSN_Regional_2015_4,,218
84,OSN,Regional,2015,5,"Diketahui barisan bilangan real $a_1, a_2, a_3, \ldots$ merupakan barisan geometri. Jika $a_1 + a_4 = 20$, maka nilai minimal dari
\[
a_1 + a_2 + a_3 + a_4 + a_5 + a_6
\]
adalah $\dots$",OSN_Regional_2015_5,,15
85,OSN,Regional,2015,6,Bilangan bulat $x$ jika dikalikan 11 terletak di antara 1500 dan 2000. Jika $x$ dikalikan 7 terletak di antara 970 dan 1275. Jika $x$ dikalikan 5 terletak di antara 690 dan 900. Banyaknya bilangan $x$ sedemikian yang habis dibagi 3 sekaligus habis dibagi 5 ada sebanyak $\dots$,OSN_Regional_2015_6,,2
86,OSN,Regional,2015,7,"Suatu sekolah mempunyai lima kelompok belajar siswa kelas 11. Kelompok-kelompok belajar itu berturut-turut mengirimkan 2, 2, 2, 3, dan 3 siswa untuk suatu pertemuan. Mereka akan duduk melingkar sehingga setiap siswa memiliki paling sedikit satu teman dari kelompok belajar yang sama yang duduk di sampingnya. Banyaknya cara melakukan hal tersebut adalah $\dots$",OSN_Regional_2015_7,,6912
87,OSN,Regional,2015,8,"Diberikan segitiga $ABC$ dengan sudut $\angle ABC = 90^\circ$. Lingkaran $L_1$ dengan $AB$ sebagai diameter sedangkan lingkaran $L_2$ dengan $BC$ sebagai diameternya. Kedua lingkaran $L_1$ dan $L_2$ berpotongan di $B$ dan $P$. Jika $AB = 5$, $BC = 12$ dan $BP = x$ maka nilai dari $\frac{240}{x}$ adalah $\dots$",OSN_Regional_2015_8,,52
88,OSN,Regional,2015,9,"Diketahui bilangan real positif $a$ dan $b$ memenuhi persamaan
\[
a^4 + a^2 b^2 + b^4 = 6 \quad \text{dan} \quad a^2 + ab + b^2 = 4.
\]
Nilai dari $a + b$ adalah $\dots$",OSN_Regional_2015_9,,$\frac{1}{2}\sqrt{21}$
89,OSN,Regional,2015,10,"Diketahui susunan $4 \times 5$ titik yang jarak ke kanan sama dan jarak ke bawah sama. Ada berapa segitiga (dengan luas positif) yang titik-titik sudutnya adalah ketiga titik pada susunan tersebut? $\dots$

<img src=""Figure/2015_OSN_Regional_10.PNG"" style=""display:block; width:400px; max-width:100%; height:auto; margin:20px auto 0;"">",OSN_Regional_2015_10,2015_OSN_Regional_10.PNG,1056
90,OSN,Regional,2015,11,"Bilangan $x$ adalah bilangan bulat positif terkecil yang membuat
\[
31^n + x \cdot 96^n
\]
merupakan kelipatan 2015 untuk setiap bilangan asli $n$. Nilai $x$ adalah $\dots$",OSN_Regional_2015_11,,1364
91,OSN,Regional,2015,12,"Semua bilangan bulat $n$ yang memenuhi
\[
p(n)=\frac{n^8+n^7+n^6+2n^5+2n^4+2n^3+2n^2+2017}{n^2-n+1}
\]
bulat adalah $\dots$",OSN_Regional_2015_12,,"$\{-5,-3,0,1,4,6\}$"
92,OSN,Regional,2015,13,"Diketahui $a,b,c$ akar-akar dari persamaan $x^3 - 5x^2 - 9x + 10 = 0$. Jika suku banyak $P(x)=Ax^3+Bx^2+Cx-2015$ memenuhi $P(a)=b+c$, $P(b)=a+c$ dan $P(c)=a+b$ maka nilai dari $A+B+C$ adalah $\dots$",OSN_Regional_2015_13,,2625
93,OSN,Regional,2015,14,"Pada segitiga $ABC$, garis tinggi $AD$, garis bagi $BE$ dan garis berat $CF$ berpotongan di satu titik. Jika panjang $AB=4$ dan $BC=5$, dan $CD = \frac{m^2}{n^2}$ dengan $m$ dan $n$ relatif prima, maka nilai dari $m-n$ adalah $\dots$",OSN_Regional_2015_14,,2
94,OSN,Regional,2015,15,"Banyaknya bilangan asli $n\le 2015$ yang dapat dinyatakan dalam bentuk $n=a+b$ dengan $a,b$ bilangan asli yang memenuhi $a-b$ bilangan prima dan $ab$ bilangan kuadrat sempurna adalah $\dots$",OSN_Regional_2015_15,,17
95,OSN,Regional,2015,16,"Tiga titik berbeda $B,C,D$ terletak segaris dengan $C$ di antara $B$ dan $D$. Titik $A$ adalah suatu titik yang tidak terletak di garis $BD$ dan memenuhi $|AB|=|AC|=|CD|$. Jika diketahui
\[
\frac{1}{|CD|} = \frac{1}{|BD|} - \frac{1}{|CE|+|BD|}
\]
maka besar sudut $\angle BAC$ adalah $\dots$",OSN_Regional_2015_16,,$36^{\circ}$
